연월	연도주차	품목코드	품목	매출액(만원)	추정판매량(개/100g)	평균가격(원/100g)	단위량(UNIT_QY)	단위명(UNIT_CODE_NM)
202101	202101	1207	건고추	2926.2506	1426.8825	20508.0	600.0	g
202101	202101	1005	상추	106585.3806	1153521.4351	924.0	100.0	g
202101	202101	0611	참다래	78677.2489	110891.1190	7095.0	10.0	개
202101	202101	1205	풋고추	13392.8430	147174.0989	910.0	100.0	g
202101	202101	0612	바나나	262083.2069	9635412.0184	272.0	100.0	g
202101	202101	1208	붉은고추	5740.9291	43890.8953	1308.0	100.0	g
202101	202101	1008	시금치	119527.3511	197304.9705	6058.0	1.0	kg
202101	202101	1201	양파	259180.6663	1111409.3752	2332.0	1.0	kg
202101	202101	0614	감귤	637747.8805	2719607.1663	2345.0	10.0	개
202101	202101	1202	대파	186782.1222	587365.1642	3180.0	1.0	kg
202101	202101	0613	파인애플	34140.5691	64270.6497	5312.0	1.0	개
202101	202101	0603	포도	183412.6204	56684.0623	32357.0	2.0	kg
202101	202101	1203	쪽파	34439.2453	37659.0982	9145.0	1.0	kg
202101	202101	1001	배추	77181.1035	304102.0626	2538.0	1.0	포기
202101	202101	0604	복숭아	122.0872				
202101	202101	1210	생강	14085.6576	15170.3367	9285.0	1.0	kg
202101	202101	0602	배	73734.7813	20909.9570	35263.0	10.0	개
202101	202101	0501	감자	151643.9054	5616440.9407	270.0	100.0	g
202101	202101	0601	사과	371265.1134	154404.2892	24045.0	10.0	개
202101	202101	0631	아몬드	104333.0015	706384.5735	1477.0	100.0	g
202101	202101	0901	오이	90907.0812	103468.1097	8786.0	10.0	개
202101	202101	0802	참외	323.9617				
202101	202101	0902	호박	123280.8723	825173.1747	1494.0	1.0	개
202101	202101	0634	아보카도	38582.3418				
202101	202101	0803	토마토	122509.9860	237837.2860	5151.0	1.0	kg
202101	202101	0801	수박	3738.7505	2341.4019	15968.0	1.0	개
202101	202101	0636	망고	29885.9261	52238.9899	5721.0	1.0	개
202101	202101	0804	딸기	1152060.0224	7347321.5714	1568.0	100.0	g
202101	202101	1004	양배추	93584.9964	241759.2260	3871.0	1.0	포기
202101	202101	0657	체리	120434.7550				
202101	202101	1101	무	70568.2259	385618.7208	1830.0	1.0	개
202101	202101	1013	갓	180.8213	307.2579	5885.0	1.0	kg
202101	202101	0617	레몬	17258.3125	19622.8681	8795.0	10.0	개
202101	202101	1103	당근	89910.5221	293633.3184	3062.0	1.0	kg
202101	202101	0104	찹쌀	111198.8019	225876.0957	4923.0	1.0	kg
202101	202101	0806	방울토마토	147429.5054	180077.5686	8187.0	1.0	kg
202101	202101	1006	열무	1418.7726	6752.8444	2101.0	1.0	kg
202101	202101	1002	얼갈이배추	4312.9840	22095.2049	1952.0	1.0	kg
202101	202101	0618	오렌지	50689.1828	32383.0466	15653.0	10.0	개
202101	202101	0805	멜론	9045.8059	8319.5125	10873.0	1.0	개
202101	202101	1011	깻잎	63273.8219	318438.9628	1987.0	100.0	g
202101	202101	0301	콩	55877.8745	128988.6300	4332.0	500.0	g
202101	202101	1209	마늘	169509.9211	196419.3756	8630.0	1.0	kg
202101	202101	1711	새송이버섯	80013.7364	1673927.5397	478.0	100.0	g
202101	202101	1302	피망	15353.8204	116405.0068	1319.0	100.0	g
202101	202101	0302	팥	19269.4360	21170.5515	9102.0	500.0	g
202101	202101	1603	땅콩	13481.2745	74482.1796	1810.0	100.0	g
202101	202101	0103	쌀	875486.4310	146385.2778	59807.0	20.0	kg
202101	202101	0303	녹두	5615.5384	5837.9649	9619.0	500.0	g
202101	202101	1701	느타리버섯	52651.2145	806297.3124	653.0	100.0	g
202101	202101	1705	팽이버섯	55144.9922	1158508.2395	476.0	150.0	g
202101	202101	1326	파프리카	128440.1598	864334.8573	1486.0	200.0	g
202101	202101	1009	미나리	22211.3568	268577.4704	827.0	100.0	g
202101	202101	0704	호두	71483.8075	462080.2036	1547.0	100.0	g
202101	202101	1306	브로콜리	46397.8327				
202101	202101	0502	고구마	194170.4678	369145.3760	5260.0	1.0	kg
202101	202101	1206	꽈리고추	14775.9788				
202101	202101	1601	참깨	16304.6524	16476.0028	9896.0	500.0	g
202101	202102	1006	열무	2140.4511	9441.7781	2267.0	1.0	kg
202101	202102	1103	당근	95945.1136	314574.1430	3050.0	1.0	kg
202101	202102	0617	레몬	19967.8848	22370.4737	8926.0	10.0	개
202101	202102	0805	멜론	11375.0567	9924.1465	11462.0	1.0	개
202101	202102	0806	방울토마토	166705.3631	207525.6605	8033.0	1.0	kg
202101	202102	1207	건고추	3431.8744	1674.0851	20500.0	600.0	g
202101	202102	0103	쌀	1042172.8275	174299.7102	59792.0	20.0	kg
202101	202102	0901	오이	104400.7427	109826.1547	9506.0	10.0	개
202101	202102	0802	참외	405.9923				
202101	202102	0104	찹쌀	130379.6563	263393.2451	4950.0	1.0	kg
202101	202102	1206	꽈리고추	18944.6371				
202101	202102	0613	파인애플	33040.5647	61505.1465	5372.0	1.0	개
202101	202102	1002	얼갈이배추	5236.8228	24155.0867	2168.0	1.0	kg
202101	202102	0618	오렌지	70880.2908	45441.9097	15598.0	10.0	개
202101	202102	1701	느타리버섯	63187.6535	966172.0719	654.0	100.0	g
202101	202102	0804	딸기	1378192.8382	9485153.7385	1453.0	100.0	g
202101	202102	0634	아보카도	51605.7108				
202101	202102	1601	참깨	20174.0940	20145.8898	10014.0	500.0	g
202101	202102	0803	토마토	145032.3788	281343.1209	5155.0	1.0	kg
202101	202102	0301	콩	72692.9321	167495.2353	4340.0	500.0	g
202101	202102	0801	수박	5851.4433	3627.6772	16130.0	1.0	개
202101	202102	0902	호박	132821.4112	769533.0892	1726.0	1.0	개
202101	202102	0636	망고	46285.2957	78343.4254	5908.0	1.0	개
202101	202102	1209	마늘	196464.4841	230619.1855	8519.0	1.0	kg
202101	202102	0302	팥	22138.9656	24336.5567	9097.0	500.0	g
202101	202102	0657	체리	153021.9013				
202101	202102	1009	미나리	27271.2985	325433.1563	838.0	100.0	g
202101	202102	1603	땅콩	15583.9867	85814.9047	1816.0	100.0	g
202101	202102	1101	무	84931.3642	449134.6600	1891.0	1.0	개
202101	202102	1013	갓	187.4948	313.6414	5978.0	1.0	kg
202101	202102	1306	브로콜리	63870.1222				
202101	202102	1005	상추	129188.3688	1249403.9536	1034.0	100.0	g
202101	202102	1302	피망	17733.2749	148023.9975	1198.0	100.0	g
202101	202102	1201	양파	294647.7581	1173895.4506	2510.0	1.0	kg
202101	202102	1004	양배추	107729.8774	255223.5901	4221.0	1.0	포기
202101	202102	0614	감귤	777012.3298	3236202.9563	2401.0	10.0	개
202101	202102	1202	대파	216841.0892	592948.0153	3657.0	1.0	kg
202101	202102	0704	호두	101503.6732	634397.9575	1600.0	100.0	g
202101	202102	1711	새송이버섯	88979.5422	1790332.8410	497.0	100.0	g
202101	202102	0602	배	108085.4920	30134.2400	35868.0	10.0	개
202101	202102	0631	아몬드	145197.3435	1053681.7380	1378.0	100.0	g
202101	202102	0603	포도	176514.6675	53695.9412	32873.0	2.0	kg
202101	202102	1203	쪽파	37151.0180	36009.5163	10317.0	1.0	kg
202101	202102	1001	배추	93567.8519	366071.4081	2556.0	1.0	포기
202101	202102	0604	복숭아	185.1537				
202101	202102	1011	깻잎	76228.5343	365429.2152	2086.0	100.0	g
202101	202102	1210	생강	12674.8613	13664.1454	9276.0	1.0	kg
202101	202102	0601	사과	457802.6775	185023.1086	24743.0	10.0	개
202101	202102	1205	풋고추	15526.0223	160392.7924	968.0	100.0	g
202101	202102	1326	파프리카	156147.9987	1027289.4651	1520.0	200.0	g
202101	202102	0611	참다래	96862.7320	135113.3101	7169.0	10.0	개
202101	202102	0612	바나나	323402.5857	11760094.0255	275.0	100.0	g
202101	202102	1705	팽이버섯	61602.2064	1280711.1518	481.0	150.0	g
202101	202102	1208	붉은고추	6327.1061	49353.4017	1282.0	100.0	g
202101	202102	1008	시금치	137017.0557	207601.5995	6600.0	1.0	kg
202101	202102	0303	녹두	7236.9034	7376.3158	9811.0	500.0	g
202101	202102	0502	고구마	225038.2301	423004.1919	5320.0	1.0	kg
202101	202102	0501	감자	164766.2625	5863568.0605	281.0	100.0	g
202101	202103	1001	배추	92584.6085	364793.5717	2538.0	1.0	포기
202101	202103	0802	참외	1025.9973				
202101	202103	1206	꽈리고추	17347.8334				
202101	202103	0502	고구마	194601.9309	356936.7771	5452.0	1.0	kg
202101	202103	0501	감자	136739.5284	4848919.4468	282.0	100.0	g
202101	202103	1005	상추	110590.7073	1045280.7873	1058.0	100.0	g
202101	202103	0302	팥	16509.8102	18430.2413	8958.0	500.0	g
202101	202103	1008	시금치	123276.2864	168987.3700	7295.0	1.0	kg
202101	202103	0104	찹쌀	118679.6182	239708.3785	4951.0	1.0	kg
202101	202103	0303	녹두	7467.6258	7479.5931	9984.0	500.0	g
202101	202103	1002	얼갈이배추	5179.0924	21606.5599	2397.0	1.0	kg
202101	202103	0801	수박	5316.0123	3297.7744	16120.0	1.0	개
202101	202103	1004	양배추	94888.4918	210395.7690	4510.0	1.0	포기
202101	202103	0657	체리	144420.1404				
202101	202103	1013	갓	186.2101				
202101	202103	0301	콩	57867.0250	133211.3835	4344.0	500.0	g
202101	202103	1302	피망	16729.4046	133408.3301	1254.0	100.0	g
202101	202103	0603	포도	126325.2754	37166.5172	33989.0	2.0	kg
202101	202103	0617	레몬	16029.6859	17854.4062	8978.0	10.0	개
202101	202103	0601	사과	345734.8239	130402.0005	26513.0	10.0	개
202101	202103	1326	파프리카	134303.2307	826990.3368	1624.0	200.0	g
202101	202103	0806	방울토마토	148569.7317	185434.0136	8012.0	1.0	kg
202101	202103	1006	열무	2033.6173	8076.3197	2518.0	1.0	kg
202101	202103	1705	팽이버섯	51343.6892	1065221.7676	482.0	150.0	g
202101	202103	0631	아몬드	113325.4199	790826.3775	1433.0	100.0	g
202101	202103	0618	오렌지	70515.8770	43907.7690	16060.0	10.0	개
202101	202103	1202	대파	193911.0826	469745.8396	4128.0	1.0	kg
202101	202103	0613	파인애플	34819.9122	64207.8410	5423.0	1.0	개
202101	202103	1207	건고추	3241.6448	1576.6755	20560.0	600.0	g
202101	202103	1103	당근	77974.6912	253164.5818	3080.0	1.0	kg
202101	202103	0614	감귤	619121.0594	2508594.2439	2468.0	10.0	개
202101	202103	1711	새송이버섯	74964.2138	1487385.1944	504.0	100.0	g
202101	202103	0611	참다래	71670.4558	99944.8554	7171.0	10.0	개
202101	202103	1205	풋고추	16527.4531	144850.5968	1141.0	100.0	g
202101	202103	1009	미나리	26819.0868	312212.8847	859.0	100.0	g
202101	202103	1011	깻잎	64301.3202	301600.9390	2132.0	100.0	g
202101	202103	0704	호두	81626.9397	502010.6993	1626.0	100.0	g
202101	202103	0612	바나나	275025.3211	10148535.8339	271.0	100.0	g
202101	202103	1208	붉은고추	5799.5488	44853.4323	1293.0	100.0	g
202101	202103	1201	양파	249280.5174	877439.3432	2841.0	1.0	kg
202101	202103	0604	복숭아	178.2908				
202101	202103	0602	배	92381.5801	23853.3347	38729.0	10.0	개
202101	202103	0901	오이	91216.3360	91840.8538	9932.0	10.0	개
202101	202103	0103	쌀	884172.9555	147573.6815	59914.0	20.0	kg
202101	202103	1306	브로콜리	48058.2024				
202101	202103	0902	호박	113919.0596	580923.3024	1961.0	1.0	개
202101	202103	1601	참깨	16699.7455	16454.5724	10149.0	500.0	g
202101	202103	1210	생강	10855.1332	11692.3020	9284.0	1.0	kg
